w,theta
273.72616605589525, -Inf 
4.0034642267983145e-10, -878064.7698335008 
172.39562462121043, 0.0 
227.63761319624646, 0.0 
160.4322108904171, 0.0 
76.29205756181061, 0.0 
160.8547798879378, 0.0 
131.02565209497126, 0.0 
84.82749278810627, 56.899623332482626 
67.85928792018589, 45.639547883406934 
80.3074210843455, 64.39944624657706 
68.13154198880365, 62.269153176189505 
67.69933893114296, 55.66512062636863 
58.615544464089524, 51.106019571221765 
83.77704204263968, 64.26520713680988 
74.81349415784976, 59.34556986287904 
78.42561256876164, 68.54332356128467 
67.37196798808314, 63.9492763292474 
67.54163226236011, 64.1368526250821 
64.65042825605379, 62.88482036699092 
78.7123527991609, 69.52844038623431 
71.29371177262998, 67.64318858817137 
71.32518216478023, 67.65918241056603 
71.33211809513088, 67.66270737579812 
71.36600484054708, 67.6799292326192 
71.37110244082999, 67.68251992526689 
71.3616341017275, 67.68323495652547 
71.00606469552152, 67.56685452891189 
70.4688632164438, 67.29001383858625 
70.49494730322306, 67.30324628622213 
66.44860429075995, 62.17259899151731 
71.62227535762423, 67.01908380821152 
69.75614097202597, 66.54253360514205 
70.28637596867543, 67.23759353751923 
70.4365345003513, 67.30876804645568 
67.7574106140828, 65.52124917448425 
67.68660087052882, 65.4737940710696 
67.75155986583741, 65.5053736233746 
65.73485893693379, 64.1704792189388 
65.76390615327021, 64.18927021199171 
65.75434468132526, 64.1831872458044 
65.82517485523724, 64.1955238112005 
63.94597608236589, 63.22868535681721 
63.831162384338455, 63.29544536215696 
65.73784711473833, 65.5824066643053 
65.97474303063187, 65.68097989836112 
65.49138873649454, 65.33691616660609 
65.98531828406226, 65.9221056881456 
65.97583302236016, 65.91965065965333 
65.9681592151469, 65.91667290052241 
65.81989989303923, 65.78991848050426 
65.78784901406654, 65.78760729511536 
65.79194089816136, 65.7880555114692 
65.7881397343225, 65.78761544468837 
65.78769990258647, 65.78744994889266 
65.78683524556864, 65.78473965246492 
65.78872663777219, 65.78872663777234 
