delta
1.0 
0.25 
0.0625 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.2 
0.4 
0.8 
1.6 
3.2 
6.4 
12.8 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
6.25 
1.5625 
0.390625 
0.09765625 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.2 
0.4 
0.8 
1.6 
3.2 
3.2 
3.2 
6.4 
12.8 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
6.25 
12.5 
3.125 
0.78125 
0.1953125 
0.05 
0.05 
0.1 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.2 
0.05 
0.1 
0.05 
0.1 
0.2 
0.05 
0.05 
0.1 
0.2 
0.05 
0.05 
0.1 
0.2 
0.05 
0.05 
0.05 
0.1 
0.05 
0.1 
0.05 
0.1 
0.2 
0.4 
0.8 
0.2 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.05 
0.05 
0.1 
0.05 
0.1 
0.1 
0.1 
0.05 
0.1 
0.1 
0.1 
0.05 
0.1 
0.1 
0.1 
0.1 
0.1 
0.1 
0.05 
0.1 
0.1 
0.1 
0.1 
0.1 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.05 
0.1 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.2 
0.4 
0.8 
1.6 
3.2 
6.4 
12.8 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
6.25 
