itnum,ssobja,fsobj,ssobjx,abscrit,concrit,delta,delcrit,numcuts
1, 1107.0402312342044, -18263.925409807114, 1107.0402312342044, 19370.96564104132, 17.497978026908278, 0.25, -0.0, 24 
2, 769.1230185667087, 607.0869939399663, 769.1230185667087, 162.03602462674235, 0.2106763426853117, 0.0625, -0.22698787240301713, 24 
3, 764.8978134526225, 607.3035302392148, 764.8978134526225, 157.59428321340772, 0.20603312029620338, 0.05, -1559.6958276146158, 3 
4, 762.6544891946518, 761.5410726558844, 762.6544891946518, 1.1134165387674102, 0.0014599226183576396, 0.05, -1.975552925170453, 3 
5, 761.6705830933454, 761.6354142944556, 761.6705830933454, 0.03516879888979929, 4.617324033569065e-5, 0.05, -10.159812415203472, 4 
6, 761.666518907378, 761.6533559371204, 761.666518907378, 0.013162970257553752, 1.7281802377810308e-5, 0.05, -73.88307000918421, 2 
7, 761.6663727505102, 761.6533559371204, 761.6663727505102, 0.013016813389754134, 1.708991476510436e-5, 0.05, -31.270752166447267, 0 
8, 761.6662550577532, 761.6559411944244, 761.6662550577532, 0.010313863328860862, 1.3541184554746304e-5, 0.05, -3.111947184659671, 2 
9, 761.6661725194115, 761.6580957789821, 761.6661725194115, 0.008076740429373785, 1.0604042454264155e-5, 0.05, -1.5629225861155656, 2 
10, 761.6661276347057, 761.6592372339078, 761.6661276347057, 0.006890400797942675, 9.046484473898515e-6, 0.05, -1.1669802608536988, 1 
