delta
1.0 
0.25 
0.0625 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.05 
0.1 
0.2 
0.4 
0.8 
1.6 
3.2 
6.4 
12.8 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
