delta
1.0 
0.25 
0.5 
1.0 
2.0 
4.0 
8.0 
16.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
25.0 
