ssobja,fsobj,ssobjx,concrit,delta,delcrit
288.21223736287845, 0.0, 288.21223736287845, -0.999999999999653, 0.25, -0.0 
288.21223736287845, 188.5586534158711, 604.1978005511287, -0.34576458258259957, 0.5, 0.7602401394721031 
288.21223736287845, 287.9174118260061, 288.58721337116873, -0.0010229459358487639, 1.0, 0.5598315067237656 
288.21223736287845, 287.91742247354046, 288.5872701004957, -0.0010229089924683019, 2.0, 0.5598776833261951 
288.21223736287845, 287.917429335368, 288.58732815093356, -0.0010228851842233068, 4.0, 0.5599215572316704 
288.21223736287845, 287.9174331051212, 288.58736039141087, -0.0010228721044415517, 8.0, 0.5599458868946677 
288.21223736287845, 287.9174343271616, 288.5873675744205, -0.0010228678643703906, 16.0, 0.5599516265552181 
288.21223736287845, 287.9174463548517, 288.5874386998099, -0.0010228261323113551, 25.0, 0.5600083936762742 
288.21223736287845, 287.917448385435, 288.5874506616407, -0.001022819086866774, 25.0, 0.5600179462540351 
288.21223736287845, 287.9174516386773, 288.5874699173898, -0.001022807799204998, 25.0, 0.5600333101006906 
288.21223736287845, 287.91745927325144, 288.58751456084184, -0.001022781309787927, 25.0, 0.5600690045397891 
288.21223736287845, 287.91746365548, 288.5875403169142, -0.0010227661049215637, 25.0, 0.5600895771783156 
288.21223736287845, 287.917464613147, 288.587545819835, -0.0010227627821376081, 25.0, 0.56009399033224 
288.21223736287845, 287.91746925582277, 288.5875732061179, -0.0010227466736065522, 25.0, 0.5601158492173083 
288.21223736287845, 287.9174699490593, 288.5875776103122, -0.0010227442683078186, 25.0, 0.5601193197462749 
288.21223736287845, 287.9174733201611, 288.5875970292215, -0.0010227325717128768, 25.0, 0.5601348843683457 
288.21223736287845, 287.9174774372774, 288.5876212392054, -0.001022718286697284, 25.0, 0.5601542164397552 
288.21223736287845, 287.9174788963376, 288.58762973193325, -0.0010227132242466314, 25.0, 0.5601610101181683 
288.21223736287845, 287.9175248549823, 288.58790136631956, -0.0010225537631319034, 25.0, 0.5603776341084533 
288.21223736287845, 287.91758286460913, 288.58824427421166, -0.0010223524891423402, 25.0, 0.5606508826860681 
288.21223736287845, 287.9176182966577, 288.5884538302629, -0.0010222295517928622, 25.0, 0.5608177391953115 
288.21223736287845, 287.917931057966, 288.59030307514087, -0.0010211443747332222, 25.0, 0.5622865059059158 
288.21223736287845, 287.91804903608227, 288.5910004358645, -0.0010207350301565566, 25.0, 0.562838673123086 
288.21223736287845, 287.9180756407781, 288.5911575864626, -0.0010206427207664673, 25.0, 0.5629629883215909 
288.21223736287845, 287.9182320783092, 288.5919794223617, -0.0010200999348927435, 25.0, 0.5636267998368351 
288.21223736287845, 287.9352468860942, 288.6046295382021, -0.0009610642466766719, 25.0, 0.5862000965059151 
