PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25 
0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.0, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125 
0.3625, 0.3625, 0.3625, 0.35312092080549873, 0.2625, 0.2625, 0.0, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.3625, 0.2625, 0.3625, 0.3625, 0.2625, 0.2625, 0.3625, 0.3625, 0.2625, 0.3625 
0.4125, 0.4125, 0.4125, 0.4031209208054987, 0.26329158027496574, 0.21250000000000002, 0.0, 0.21250000000000002, 0.3125, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.4125, 0.21250000000000002, 0.4125, 0.4125, 0.21250000000000002, 0.21250000000000002, 0.4125, 0.4125, 0.21250000000000002, 0.4125 
0.46249999999999997, 0.46249999999999997, 0.46249999999999997, 0.4531209208054987, 0.21329158027496575, 0.16250000000000003, 0.0, 0.16250000000000003, 0.3124335573115341, 0.16250000000000003, 0.16250000000000003, 0.16250000000000003, 0.16250000000000003, 0.16250000000000003, 0.46249999999999997, 0.2625, 0.46249999999999997, 0.46249999999999997, 0.16250000000000003, 0.16250000000000003, 0.46249999999999997, 0.46249999999999997, 0.16250000000000003, 0.46249999999999997 
0.5125, 0.5125, 0.5125, 0.5031209208054988, 0.16329158027496576, 0.11250000000000003, 0.0, 0.11250000000000003, 0.31244848941173115, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.5125, 0.3125, 0.5125, 0.5125, 0.11250000000000003, 0.11250000000000003, 0.5125, 0.5125, 0.11250000000000003, 0.5125 
0.5125, 0.5125, 0.5125, 0.5031209208054988, 0.16329158027496576, 0.11250000000000003, 0.0, 0.11250000000000003, 0.31244848941173115, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.5125, 0.3125, 0.5125, 0.5125, 0.11250000000000003, 0.11250000000000003, 0.5125, 0.5125, 0.11250000000000003, 0.5125 
