w,theta
317.09475934615506, -Inf 
2.302047441560262e-11, -52084.123380896206 
196.95143635961716, 0.0 
203.7878743593854, 0.0 
130.2880069659681, 0.0 
126.09596983621012, 0.0 
126.49553633103997, 0.0 
121.86609252827637, 0.0 
122.00689966405463, 0.0 
118.19848437207793, 0.0 
127.23336718363697, 0.0 
121.02444386755269, 0.0 
120.75139638644217, 0.0 
120.59942718993017, 0.0 
122.24414964787292, 0.0 
138.32164422718296, 0.0 
122.58607425281042, 0.0 
121.70579004416072, 0.0 
116.1724802331899, 0.0 
122.49417161990482, 0.0 
121.52491124242535, 0.0 
115.79380885234724, 0.0 
112.060495283634, 0.0 
113.23041933013977, 0.0 
111.7005027195459, 0.0 
112.05762866123644, 0.0 
111.29334513390067, 0.0 
114.45187151742667, 0.0 
112.63471445433737, 0.0 
111.90988101960063, 0.0 
112.2045473372878, 0.0 
112.02613906957917, 0.0 
112.20270488543092, 0.0 
111.75551115416162, 0.0 
126.35860818048388, 0.0 
107.76210185906453, 0.0 
107.38221908166153, 0.0 
113.54004119330824, 0.0 
101.47608380931018, 0.0 
106.59085329350502, 0.0 
100.41947153943295, 0.0 
100.52537778597022, 0.0 
113.18257426671977, 0.0 
98.73217653700743, 0.0 
99.3468233866391, 0.0 
100.41778676581563, 0.0 
102.69038548160191, 0.0 
104.16855169775748, 0.0 
97.02616501519117, 0.0 
116.57113313100575, 0.0 
100.88741217409891, 0.0 
103.82356593035212, 0.0 
97.92191159198191, 0.0 
101.61749433651124, 0.0 
103.76438609657099, 0.0 
102.17338465900457, 0.0 
99.51541792496182, 0.0 
96.37130226183427, 0.0 
99.01381052655046, 0.0 
103.9566336641127, 0.0 
96.943919611934, 0.0 
95.64468598220705, 0.0 
94.07399618848387, 0.0 
92.25107748374006, 0.0 
98.02334754427437, 0.0 
94.7460354041517, 0.0 
93.58703805045798, 0.0 
96.71693907099518, 0.0 
88.51002691327417, 0.0 
89.77488424983778, 0.0 
96.11261405445472, 0.0 
89.34661041518898, 0.0 
87.38988122805881, 0.0 
91.81314087600236, 0.0 
86.01601364024745, 0.0 
87.08547590531197, 0.0 
85.51850380775363, 0.0 
83.34647716241429, 0.0 
90.17922112108866, 0.0 
101.22337914541612, 0.0 
86.9553453616735, 0.0 
87.05067235823947, 0.0 
83.73783864799864, 0.0 
86.10671985994327, 0.0 
85.00098255316416, 0.0 
84.1267579724855, 0.0 
83.96302371039293, 0.0 
82.31629339531642, 0.0 
124.90966346233597, 0.0 
103.55121784312489, 0.0 
87.35940346251259, 0.0 
89.91640247521372, 0.0 
87.45633217608156, 0.0 
87.60674414050781, 0.0 
87.46364113560944, 0.0 
87.50192072962922, 0.0 
87.51150793308922, 0.0 
87.51552832506022, 0.0 
87.62918135218503, 0.0 
