itnum,ssobja,fsobj,ssobjx,abscrit,concrit,delta,delcrit,numcuts
1, 1182.8102679206563, -20797.41905258894, 1182.8102679206563, 21980.229320509596, 18.583055893781086, 0.25, -0.0, 12 
2, 753.8929186831648, -859.3851755884803, 753.8929186831648, 1613.278094271645, 2.139930027581856, 0.0625, -0.2598288801565965, 12 
3, 711.7491532875152, -858.7070804245018, 711.7491532875152, 1570.456233712017, 2.206474326605066, 0.05, -5869.495556925453, 3 
4, 711.7491532875152, 705.3480584500596, 759.2116761708555, 6.4010948374556165, 0.008993470252670546, 0.1, 0.5847040799728859, 3 
5, 705.9110833185601, 705.528055800782, 705.9110833185601, 0.3830275177781459, 0.0005426002322805871, 0.05, -11.536419375802305, 4 
6, 705.5761794773501, 705.5387021668072, 705.5761794773501, 0.037477310542954, 5.311589539588723e-5, 0.05, -669.1678750029391, 1 
7, 705.5748823483642, 705.5448682235882, 705.5748823483642, 0.030014124776016615, 4.2538539178317084e-5, 0.05, -5.1808222494430245, 3 
8, 705.574148416516, 705.5514527630146, 705.574148416516, 0.022695653501386914, 3.216622030770032e-5, 0.05, -1.9572234292322543, 2 
9, 705.5736599560539, 705.5548612112784, 705.5736599560539, 0.018798744775494924, 2.6643206574155736e-5, 0.05, -3.286945551058416, 1 
10, 705.5733016562962, 705.5548619375858, 705.5733016562962, 0.018439718710396846, 2.6134377062040134e-5, 0.05, -11.440804509697221, 2 
11, 705.5730015931226, 705.5548649378301, 705.5730015931226, 0.01813665529255104, 2.570486009469959e-5, 0.05, -2.791472450759289, 2 
12, 705.5727422560694, 705.5548662128245, 705.5727422560694, 0.017876043244882567, 2.533550713385181e-5, 0.05, -1.1690922858635062, 2 
13, 705.5725169875303, 705.5548667755052, 705.5725169875303, 0.017650212025159817, 2.5015447172624566e-5, 0.05, -0.6100378968357539, 2 
14, 705.5723069344263, 705.5548669048287, 705.5723069344263, 0.017440029597537432, 2.47175653382833e-5, 0.05, -0.40413950306746604, 2 
15, 705.5721402316076, 705.5548674239617, 705.5721402316076, 0.017272807645895227, 2.4480569258620236e-5, 0.05, -0.23505002146549062, 2 
16, 705.5720129411759, 705.5548697231388, 705.5720129411759, 0.01714321803706298, 2.429690764745482e-5, 0.05, -0.1376229760011249, 2 
17, 705.5719064976284, 705.5548699589705, 705.5719064976284, 0.017036538657976052, 2.4145715696846412e-5, 0.05, -0.09199521159345224, 2 
18, 705.5718057781061, 705.5548706269907, 705.5718057781061, 0.016935151115376357, 2.4002023573912277e-5, 0.05, -0.07220446576473108, 2 
19, 705.5717392247388, 705.55487195658, 705.5717392247388, 0.01686726815887596, 2.390581598039459e-5, 0.05, -0.03992517732755201, 2 
20, 705.5716733104775, 705.5548749827271, 705.5716733104775, 0.016798327750393582, 2.380810963055672e-5, 0.05, -0.033983280708190546, 2 
21, 705.5716733104775, 705.5548755782492, 705.5717751039307, 0.01679773222838321, 2.3807265602893907e-5, 0.05, 0.042771656375745024, 3 
22, 705.5716733104775, 705.5548757022297, 705.5717750900789, 0.016797608247884455, 2.3807089886516044e-5, 0.05, 0.042766292398745104, 3 
23, 705.5716733104775, 705.5548764564071, 705.5717749609516, 0.016796854070435074, 2.380602099801342e-5, 0.05, 0.0427144239854523, 3 
24, 705.5716733104775, 705.5548769986609, 705.5717751750951, 0.01679631181661989, 2.380525246685536e-5, 0.05, 0.04280075793669126, 3 
25, 705.5716733104775, 705.5548801480538, 705.5717750487191, 0.016793162423709873, 2.380078886233558e-5, 0.05, 0.042750065692370796, 3 
26, 705.5716733104775, 705.5548810896737, 705.5717756310589, 0.016792220803836244, 2.3799454313473645e-5, 0.05, 0.042984977895142724, 3 
27, 705.5716733104775, 705.5548815753818, 705.5717752306336, 0.016791735095694094, 2.3798765923958417e-5, 0.05, 0.0428244559336454, 3 
28, 705.5716733104775, 705.5548818458534, 705.5717752980793, 0.016791464624134278, 2.3798382587197537e-5, 0.05, 0.04285180530076417, 3 
29, 705.5716733104775, 705.5548823554848, 705.5717753467894, 0.01679095499275718, 2.379766029150969e-5, 0.05, 0.04287145705416551, 3 
30, 705.5716733104775, 705.5548823620436, 705.5717751378636, 0.016790948433936137, 2.379765099575521e-5, 0.05, 0.04278770459346228, 3 
31, 705.5716733104775, 705.5548823708211, 705.5717752571156, 0.01679093965640277, 2.3797638555440925e-5, 0.05, 0.04283566832304009, 3 
32, 705.5716733104775, 705.55488237738, 705.5717751312526, 0.01679093309758173, 2.3797629259686448e-5, 0.05, 0.04278505322196517, 3 
33, 705.5716733104775, 705.554884802667, 705.5717753524813, 0.01678850781058827, 2.379419192357277e-5, 0.05, 0.04287404862144156, 3 
34, 705.5716733104775, 705.5548859359039, 705.5717761918055, 0.016787374573596026, 2.3792585797597037e-5, 0.05, 0.04321195425866057, 3 
35, 705.5716733104775, 705.5548859359039, 705.571775188445, 0.016787374573596026, 2.3792585797597037e-5, 0.05, 0.042808933405293126, 3 
36, 705.5716733104775, 705.5548859359039, 705.5717759699368, 0.016787374573596026, 2.3792585797597037e-5, 0.05, 0.04312316101106342, 3 
37, 705.5716733104775, 705.5548873656858, 705.5717758540255, 0.01678594479176354, 2.3790559381448874e-5, 0.05, 0.043076640322138524, 3 
38, 705.5716733104775, 705.554887864835, 705.5717757933696, 0.016785445642540253, 2.3789851942017602e-5, 0.05, 0.04305258929229577, 3 
39, 705.5716733104775, 705.55488833843, 705.5717757841218, 0.016784972047503288, 2.3789180720290768e-5, 0.05, 0.04304898649339807, 3 
40, 705.5716733104775, 705.5548887154341, 705.5717758043385, 0.01678459504341845, 2.3788646395998708e-5, 0.05, 0.04305730770080904, 3 
41, 705.5716733104775, 705.5548907013995, 705.5717757523885, 0.016782609078063615, 2.3785831706251433e-5, 0.05, 0.043036747168979164, 3 
42, 705.5716733104775, 705.5548949964104, 705.5717763821867, 0.01677831406709629, 2.377974442819055e-5, 0.05, 0.04329059553220552, 3 
43, 705.5716733104775, 705.5548960820425, 705.5717766951774, 0.01677722843498941, 2.37782057721646e-5, 0.05, 0.04341724058751641, 3 
44, 705.5716733104775, 705.5548961576702, 705.5717765920987, 0.016777152807321727, 2.377809858579283e-5, 0.05, 0.04337679797482613, 3 
45, 705.5716733104775, 705.5548962414779, 705.5717766373472, 0.016777068999658695, 2.377797980599171e-5, 0.05, 0.043395010102759014, 3 
46, 705.5716733104775, 705.5548962414772, 705.571776599788, 0.016777069000340816, 2.3777979806958474e-5, 0.05, 0.04337996782523132, 3 
47, 705.5716733104775, 705.5548965329996, 705.5717765185982, 0.016776777477957694, 2.3777566635066592e-5, 0.05, 0.04334734029744284, 3 
48, 705.5716733104775, 705.5548981759567, 705.5717765733447, 0.01677513452079893, 2.3775238087562613e-5, 0.05, 0.04336946289532666, 3 
