w,theta
273.7261660558954, -Inf 
4.0034642267983145e-10, -878064.7698335008 
172.395624621211, 0.0 
227.63761319624703, 0.0 
160.43221089041762, 0.0 
76.2920575618106, 0.0 
160.85477988793872, 0.0 
131.0256520949703, 0.0 
84.82749278810468, 56.89962333248155 
67.85928792018575, 45.63954788340607 
80.30742108434367, 64.39944624657691 
68.13154198880422, 62.2691531761896 
67.69933893114316, 55.66512062636803 
58.61554446408904, 51.106019571220855 
83.77704204263989, 64.26520713680907 
74.81349415784956, 59.345569862877994 
78.42561256876144, 68.54332356128467 
67.37196798808287, 63.949276329247255 
67.54163226235826, 64.13685262508123 
64.65042825605381, 62.88482036699087 
78.71235279916107, 69.52844038623415 
71.29371177262668, 67.6431885881707 
71.32518216477696, 67.65918241056532 
71.3321180951276, 67.66270737579741 
71.36600484054374, 67.67992923261846 
71.37110244082668, 67.68251992526616 
71.36163410172415, 67.68323495652474 
71.00606469551948, 67.56685452891129 
70.46886321644385, 67.29001383858657 
70.49494730322313, 67.30324628622247 
66.44860429076785, 62.172598991529604 
71.6222753576269, 67.01908380821108 
69.7561409720276, 66.54253360514133 
70.28637596867502, 67.23759353751896 
70.43653450035035, 67.3087680464556 
67.75741061408041, 65.52124917448285 
67.68660087052805, 65.47379407106932 
67.75155986583647, 65.50537362337427 
65.73485893693132, 64.1704792189369 
65.76390615326692, 64.18927021198992 
65.75434468132192, 64.18318724580267 
65.82517485523415, 64.19552381119881 
63.94597608236527, 63.228685356816314 
63.83116238433807, 63.29544536215624 
65.73784711473851, 65.58240666430537 
65.97474303063181, 65.68097989836114 
65.49138873649417, 65.33691616660568 
65.98531828406263, 65.92210568814549 
65.97583302236065, 65.91965065965319 
65.96815921514676, 65.91667290052224 
65.81989989303923, 65.78991848050418 
65.78784901406644, 65.7876072951152 
65.79194089816161, 65.78805551146915 
65.78813973432257, 65.78761544468831 
65.78769990258628, 65.7874499488925 
65.78683524556743, 65.78473965246505 
65.78872663777014, 65.78872663776991 
