w,theta
317.09475935434784, -Inf 
6.217248937900877e-12, -1.0477072680421676e6 
196.95143636826052, 0.0 
196.0657068187268, 0.0 
125.79648269375153, 0.0 
120.9721468926692, 0.0 
132.952217499283, 0.0 
121.69440150528533, 0.0 
121.22934797442221, 0.0 
121.95219050705765, 0.0 
119.1285180461597, 0.0 
122.04038942025298, 0.0 
118.18171993466555, 0.0 
127.8089533440604, 0.0 
123.77390262477215, 0.0 
119.69437542646403, 0.0 
120.49963140677212, 0.0 
145.04683427466355, 0.0 
120.43937159392678, 0.0 
117.7958483700817, 0.0 
120.84772116962472, 0.0 
121.96557751886073, 0.0 
121.51430500381372, 0.0 
122.35921993203169, 0.0 
119.32319650416318, 0.0 
119.41942284902316, 0.0 
120.10575513409745, 0.0 
123.61561788580377, 0.0 
121.31981213086655, 0.0 
112.46561470582671, 0.0 
116.39150962644072, 0.0 
112.81586691964306, 0.0 
112.62296761241218, 0.0 
125.21582316496637, 0.0 
108.69865729063055, 0.0 
135.40453515605617, 0.0 
116.06716493437285, 0.0 
118.76012641593681, 0.0 
110.19254440390901, 0.0 
110.9746573540865, 0.0 
111.56594805995513, 0.0 
101.99724854888734, 0.0 
107.88852704981116, 0.0 
107.87958887442099, 0.0 
106.45840318075692, 0.0 
102.56021662300611, 0.0 
120.43376177220239, 0.0 
99.88660716367264, 0.0 
99.1970106297178, 0.0 
102.95721144520239, 0.0 
105.8892647968363, 0.0 
99.3454761092093, 0.0 
107.24872726059195, 0.0 
99.62962525746497, 0.0 
104.55160799441694, 0.0 
96.39081765727799, 0.0 
102.58255945545551, 0.0 
102.51771076145724, 0.0 
95.22823747036813, 0.0 
96.68744589539662, 0.0 
97.70919595550988, 0.0 
114.05029444904889, 0.0 
93.05878487126682, 0.0 
100.44175605840957, 0.0 
93.46440420631762, 0.0 
105.06974468960112, 0.0 
93.37645975952094, 0.0 
91.1398195796207, 0.0 
89.68281796501746, 0.0 
91.17412030778877, 0.0 
96.07817475075899, 0.0 
93.53183826120653, 0.0 
89.9665981409384, 0.0 
92.55025167545736, 0.0 
89.03870305493254, 0.0 
92.00287913141267, 0.0 
84.63132315000792, 0.0 
87.0485832752157, 0.0 
91.96954467292116, 0.0 
89.0146814584877, 0.0 
87.5215954564681, 0.0 
82.43566828508139, 0.0 
87.94819399680287, 0.0 
86.38668671468767, 0.0 
83.17358257399869, 0.0 
86.84541794912857, 0.0 
81.6107961907078, 0.0 
146.44461194137335, 0.0 
108.4671196979279, 0.0 
107.41030207022413, 0.0 
99.11400460719733, 0.0 
98.69406407491262, 0.0 
99.64732167093905, 0.0 
99.52508629084704, 0.0 
100.7031002487403, 0.0 
95.26121925011684, 0.0 
103.32417505080966, 0.0 
102.79039312074603, 0.0 
97.90512936148704, 0.0 
104.24630522716737, 0.0 
91.86478676215145, 0.0 
96.46405847796994, 0.0 
92.38420687198659, 0.0 
93.70412492130568, 0.0 
91.0694229592886, 0.0 
92.40595743257063, 0.0 
92.56269814538582, 0.0 
85.88921415676133, 0.0 
85.04340351596038, 0.0 
90.41674272861043, 0.0 
87.0780442957689, 0.0 
73.65057346470478, 0.0 
74.00770190677858, 0.0 
72.24628711141729, 0.0 
71.42641005343275, 0.0 
72.25881202785577, 0.0 
