PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938848987088, 2.0639388445814433, 2.063938846784268, 2.063938846784268, 2.0639388445814433, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938846784268, 2.063938848987088, 2.063938848987088, 2.063938846784268 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
2.0639388461261987, 2.0639388461261987, 2.063938844285361, 2.0639388461261987, 2.0639388461261987, 0.0, 2.063938847967038, 2.063938847967038, 2.063938847967038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938844285361 
2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.0639388461261987, 2.0639388461261987, 0.0, 2.0639388461261987, 2.0639388461261987, 0.0, 2.063938847967038, 2.063938847967038, 2.063938847967038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938847967038, 0.0, 0.0, 2.063938844285361 
0.0, 2.063938845946768, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 0.0, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0 
2.063938845946768, 0.0, 2.0639388438313837, 0.0, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 2.063938845946768, 0.0, 2.063938845946768, 0.0, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 2.063938845946768, 0.0, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 2.0639388461261987, 2.063938844285361, 2.0639388461261987, 0.0, 0.0, 2.063938847967038, 2.063938847967038, 0.0, 2.063938848329026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938844285361 
0.0, 2.063938845946768, 0.0, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0 
2.063938846679524, 0.0, 2.0639388458346106, 2.063938846679524, 0.0, 2.0639388458346106, 2.0639388475244376, 0.0, 2.0639388475244376, 2.063938848882346, 0.0, 0.0, 0.0, 0.0, 2.063938846679524, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388475244376, 0.0, 0.0, 0.0 
2.063938845946768, 2.063938845946768, 0.0, 0.0, 2.063938845946768, 0.0, 2.0639388481495935, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388437439434, 2.0639388481495935, 2.0639388481495935, 2.0639388481495935, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.0639388461261987, 0.0, 2.063938844285361, 2.0639388461261987, 2.0639388461261987, 2.063938844285361, 2.063938847967038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938846123924, 2.063938846123924, 0.0, 0.0, 2.063938846123924, 0.0, 2.063938847694767, 0.0, 2.063938847694767, 2.0639388483267487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938844553083 
0.0, 2.063938845946768, 0.0, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 2.063938845946768, 0.0, 2.063938845946768, 0.0, 2.0639388438313837, 2.063938848062153, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 2.063938845946768, 0.0, 2.063938845946768, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 2.063938845946768, 2.0639388437439434, 2.063938845946768, 2.063938845946768, 2.0639388437439434, 2.0639388481495935, 0.0, 2.0639388481495935, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 2.0639388437439434 
0.0, 2.063938845946768, 2.0639388437439434, 0.0, 2.063938845946768, 2.0639388437439434, 2.0639388481495935, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 2.0639388437439434 
0.0, 0.0, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 2.063938843831383 
0.0, 0.0, 2.0639388438313837, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 2.063938843831383 
0.0, 2.0639388464126514, 0.0, 0.0, 0.0, 0.0, 2.063938847427047, 0.0, 2.063938847427047, 2.063938848615474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 2.063938845946768, 2.0639388438313837, 0.0, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 0.0, 2.0639388437439434, 0.0, 2.063938845946768, 0.0, 2.0639388481495935, 2.0639388481495935, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388437439434 
0.0, 0.0, 0.0, 0.0, 2.0639388461261987, 2.063938844285361, 2.063938847967038, 2.063938847967038, 0.0, 2.063938848329026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938844285361 
2.063938845946768, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 2.063938848062153, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 0.0, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 0.0, 2.0639388438313837, 0.0, 0.0, 0.0, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388437439434 
0.0, 0.0, 0.0, 2.0639388461261987, 2.0639388461261987, 2.063938844285361, 2.063938847967038, 2.063938847967038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938847967038, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 2.063938845946768, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 0.0, 0.0, 0.0, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 0.0, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0 
2.063938845946768, 0.0, 0.0, 2.063938845946768, 0.0, 2.0639388438313837, 2.063938848062153, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0 
2.0639388461261987, 0.0, 0.0, 2.0639388461261987, 2.0639388461261987, 0.0, 2.063938847879598, 0.0, 2.063938847879598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938847879598, 0.0, 0.0, 0.0 
2.0639388461261987, 2.0639388461261987, 0.0, 0.0, 2.0639388461261987, 2.063938844372802, 2.063938847879598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938847879598, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0 
2.063938845946768, 2.063938845946768, 0.0, 2.063938845946768, 0.0, 2.0639388438313837, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 0.0, 0.0, 2.063938845946768, 0.0, 2.0639388438313837, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 2.063938845946768, 0.0, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
2.063938845946768, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 2.0639388481495935, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 0.0, 2.0639388438313837, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 2.063938848062153, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 2.063938845946768, 2.0639388438313837, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938843831383 
0.0, 0.0, 2.0639388438313837, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 2.063938848062153, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 2.0639388438313837, 0.0, 2.063938845946768, 2.0639388438313837, 2.063938848062153, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2.063938845946768, 0.0, 2.0639388438313837, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 0.0, 2.0639388481495935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 2.0639388438313837, 2.063938845946768, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 2.063938845946768, 2.0639388438313837, 0.0, 2.063938845946768, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938845946768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063938848062153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
