w,theta
317.09475934615506, -Inf 
4.4797499043625066e-10, -1.0477072680455005e6 
196.95143635961716, 0.0 
203.7878743593854, 0.0 
130.28800696596812, 0.0 
126.09596983621013, 0.0 
126.49553633103997, 0.0 
121.86609252827637, 0.0 
122.00689966405463, 0.0 
118.19848437207791, 0.0 
127.23336718363703, 0.0 
121.02444386755263, 0.0 
120.75139638644214, 0.0 
120.59942718993045, 0.0 
122.244149647873, 0.0 
138.32164422718245, 0.0 
122.58607425281036, 0.0 
121.70579004416052, 0.0 
116.17248023318959, 0.0 
122.49417161990422, 0.0 
121.52491124242546, 0.0 
115.79380885234696, 0.0 
112.06049528363337, 0.0 
113.23041933014014, 0.0 
111.70050271954602, 0.0 
112.05762866123635, 0.0 
111.29334513390074, 0.0 
114.4518715174267, 0.0 
112.63471445433748, 0.0 
111.9098810196006, 0.0 
112.20454733728747, 0.0 
112.02613906957913, 0.0 
112.20270488543079, 0.0 
111.75551115416165, 0.0 
126.3586081804842, 0.0 
107.7621018590645, 0.0 
107.38221908165913, 0.0 
113.54004119330787, 0.0 
101.47608380931015, 0.0 
106.59085329350503, 0.0 
100.4194715394334, 0.0 
100.52537778597016, 0.0 
113.18257426671966, 0.0 
98.73217653700746, 0.0 
99.34682338663927, 0.0 
100.41778676581563, 0.0 
102.69038548159793, 0.0 
104.16855169775745, 0.0 
97.02616501519117, 0.0 
116.57113313100567, 0.0 
100.88741217409961, 0.0 
103.8235659303521, 0.0 
97.92191159198197, 0.0 
101.61749433651127, 0.0 
103.7643860965711, 0.0 
102.17338465900465, 0.0 
99.51541792496198, 0.0 
96.37130226183413, 0.0 
99.01381052655046, 0.0 
103.95663366411304, 0.0 
96.94391961193391, 0.0 
95.64468598220708, 0.0 
94.07399618848382, 0.0 
92.25107748374003, 0.0 
98.0233475442744, 0.0 
94.7460354041517, 0.0 
93.58703805045828, 0.0 
96.71693907099566, 0.0 
88.51002691327432, 0.0 
89.77488424983778, 0.0 
96.11261405445472, 0.0 
89.34661041518896, 0.0 
87.38988122805881, 0.0 
91.81314087600242, 0.0 
86.01601364024745, 0.0 
87.08547590531202, 0.0 
85.51850380775369, 0.0 
83.34647716241429, 0.0 
90.17922112108872, 0.0 
101.22337914541609, 0.0 
86.9553453616735, 0.0 
87.05067235823947, 0.0 
83.73783864799864, 0.0 
86.10671985994324, 0.0 
85.00098255316416, 0.0 
84.1267579724855, 0.0 
83.96302371039295, 0.0 
82.31629339531642, 0.0 
124.90966346233597, 0.0 
103.55121784312489, 0.0 
87.35940346251257, 0.0 
89.91640247521372, 0.0 
87.45633217608155, 0.0 
87.60674414050783, 0.0 
87.46364113560942, 0.0 
87.50192072962916, 0.0 
87.51150793308922, 0.0 
87.51552832506022, 0.0 
87.62918135218503, 0.0 
87.59732774791766, 0.0 
87.6631802657525, 0.0 
87.64155194921966, 0.0 
87.91605916611294, 0.0 
80.94237448841767, 0.0 
80.89806632002269, 0.0 
71.28312205486742, 0.0 
69.20004873443163, 0.0 
69.16251895400246, 0.0 
73.25983111319368, 0.0 
69.3997120227161, 0.0 
71.14567231816866, 0.0 
70.221818052854, 0.0 
64.82739271303953, 0.0 
106.88150122629023, 43.13020870049894 
107.39285692201335, 32.66376917132339 
103.95300557521837, 52.06717988875865 
110.8429930405891, 52.58865664903873 
104.75089426710778, 53.498045912040524 
103.93790744874201, 47.93531352482479 
101.9940169425447, 49.97146515365388 
99.5604421677601, 52.55865965069422 
102.0757322858639, 52.928004337317034 
98.46677826514384, 52.693044535174494 
97.30587826266739, 47.614827384319575 
93.24681521072986, 46.26307022870838 
94.17981062963958, 51.088067234294314 
96.87294161195774, 47.8937125156671 
98.86295636571161, 50.35648555501363 
97.68364749276935, 51.42773166968901 
98.26174802258666, 54.752571862607006 
94.09976010013136, 50.12331809411166 
94.74276824228374, 55.527588338706224 
90.20569727109746, 49.62946295917294 
95.53695411926356, 54.59557386798297 
89.82964158889699, 53.295906544216336 
93.97890057605082, 50.36417221613969 
92.28696765318853, 50.73011562808855 
89.04075010294268, 54.071387740693105 
88.50999840323215, 53.802922566583135 
86.64347679541356, 53.635319460872246 
85.40887787586648, 52.799433862699985 
89.45604511040023, 51.27996909197344 
88.02728476940032, 52.040564098172915 
85.47802323872185, 51.9118611984367 
83.21019862978864, 51.43965944317539 
90.91144438317792, 51.56368361371655 
88.17711354666133, 51.354659522880915 
82.53950875446066, 51.31507020431337 
80.17481320774854, 49.979015876942356 
81.62842600010703, 51.01062177269956 
83.70549785544983, 49.61355688553866 
92.89828331494724, 48.93457597752428 
81.60401391728178, 49.799770019605276 
87.56164477140189, 50.79084106450185 
80.70182782609098, 49.659725237233445 
78.97075972539966, 48.871500157031875 
77.783001568173, 49.602018360852554 
83.51162112257757, 49.187244609679844 
81.19425091038434, 49.75584249695551 
76.68277130742442, 48.47279869256845 
82.74603690142399, 50.28491939182155 
77.00821912511594, 48.59182229444473 
82.67296838274305, 50.86356883771889 
81.12165045310394, 50.24639038655926 
80.61218722808326, 48.69593761875331 
73.76778605533177, 47.516177559947344 
73.81332466967947, 47.472594314762134 
77.50349669244505, 49.208431300189645 
76.23348572110254, 48.02950794840901 
74.04890876015327, 47.877857974124304 
74.11048260428765, 47.65675000795556 
72.48665705393438, 45.862374180663366 
106.14955207765003, 60.29008489766085 
93.24783411549862, 60.086571509195444 
95.98093714774564, 62.49213759654316 
94.55793323533426, 59.40443729060537 
91.76017826282936, 60.074894929909924 
90.69249664674741, 60.880563281825275 
93.18489377893165, 61.85209019873088 
86.70754816266316, 59.92196030285829 
87.81114000403169, 60.75265606438632 
90.486265304842, 60.50344352090849 
86.63077950202452, 60.460066172612 
100.63974237584436, 63.08642131555129 
102.69173671237328, 63.43604712539243 
91.93215078067654, 61.3356924277184 
87.67869275437761, 60.410244925869165 
99.1956091977124, 62.58895136614296 
85.10771516592425, 60.030508968125055 
93.04850455917361, 61.46051235573206 
92.69388758232205, 61.27637376501484 
87.5612019210273, 60.55952982460891 
97.02968464097168, 62.46121089424671 
83.38826750042362, 59.12228721103962 
95.3896547790307, 61.59328451168837 
