PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
29.410957668253452, 29.411031993797053, 29.408618249690946, 29.411241740997966, 29.411448826099246, 29.41173421679747, 0.9871039710050942, 28.421176644788503, 29.41141350234342, 29.411957348414262, 29.412512845441327, 29.41234675665134, 29.412616165827885, 29.413229814642563, 29.403872236561995, 29.414237015089967, 29.373040711809793, 29.380842817460945, 29.413834374490754, 29.41348425212223, 29.388087629764364, 29.38217326379082, 29.4132917143815, 29.40567023076479 
5.823492473311376e-5, 5.823492473266967e-5, 5.823491324230545e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 1.0147077516542649, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.0009195142614673024, 5.823491324230545e-5, 5.823492473311376e-5, 0.0005260624575118555, 0.000183930485923689, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 1.0147077516542649, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.000983811420632641, 5.823491324230545e-5, 5.823492473311376e-5, 0.0005895843725829408, 0.00024677827597496815, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 1.0147077516542649, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823492473266967e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.0008045333478325922, 5.823491324230545e-5, 5.823492473311376e-5, 0.00041246789244020476, 0.000183930485923689, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 1.0147077516542653, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.0007325326010527711, 5.823491324230545e-5, 5.823492473311376e-5, 0.0003445235553085624, 0.00011951346154104314, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 1.0147077516542649, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.000732532601052327, 5.823491324230545e-5, 5.823492473311376e-5, 0.0003445235553081183, 0.00011951346154104314, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
1.1485622273835838, 1.1486345753191551, 1.1462850535403801, 1.148838741640384, 1.149040316806324, 1.1493181130412555, 1.0147077516542649, 1.1492706075044263, 1.1490059340004954, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.0007325324689690937, 5.823491324230545e-5, 5.823492473311376e-5, 0.0003445235175059125, 0.00011951346154104314, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
1.1484456722056102, 1.1485177324750195, 1.1461775526111846, 1.1487210870189393, 1.1489218606736353, 5.823491324230545e-5, 1.0147077516542649, 1.1491512358534255, 1.1488876147123692, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473266967e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.0006032851598152256, 5.823491324230545e-5, 5.823492473311376e-5, 0.0003445235175059125, 0.00011951346154104314, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
1.148308020441912, 1.1483800242412445, 1.1460416782330145, 1.1485832194087664, 1.1487838357463998, 1.1490603104409238, 1.0147077516542649, 5.823493622392206e-5, 1.1487496166408315, 1.1492764457554505, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.00040855752361634856, 5.823491324230545e-5, 5.823492473311376e-5, 0.00016106056196463214, 5.823492473311376e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
1.148308020441912, 1.1483800242412445, 1.146041678210628, 1.1485832194271433, 5.823492473311376e-5, 1.1490603103817836, 1.0147077516950282, 1.1490130312184474, 1.1487496166632172, 5.823493622392206e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823492473311376e-5, 5.823491324230545e-5, 5.823492473311376e-5, 0.00040855752361634856, 5.823491324230545e-5, 5.823492473311376e-5, 0.00016106056196507623, 5.823492473311376e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823493622392206e-5, 5.823491324230545e-5 
