w,theta
317.09475934615506, -Inf 
6568.2593123333545, -45515.86406856286 
206.94839841947984, 9.996962059862785 
224.599221621789, 20.81134726240368 
151.98940741729825, 21.701400451330162 
148.05898094457496, 21.963011108364835 
149.7387916187593, 23.243255287719332 
145.28053154832713, 23.414439020050786 
145.72638262258104, 23.71948295852657 
142.0150062315726, 23.81652185949468 
151.2877140512427, 24.054346867605776 
145.2169268706731, 24.192483003120476 
144.98809402113903, 24.23669763469685 
144.89456696839727, 24.29513977846731 
146.56860196989842, 24.32445232202543 
162.67538496254008, 24.353740735357206 
146.94743834880325, 24.361364095992865 
146.11860454827712, 24.412814504117726 
140.65500242649617, 24.482522193307133 
147.03081240469015, 24.536640784786098 
146.2597778664107, 24.734866623985376 
140.58478637905125, 24.79097752670268 
136.8870153078014, 24.82652002416739 
138.06997019689277, 24.839550866753086 
136.56901401777858, 24.8685112982327 
136.93385392786155, 24.876225266624544 
136.1900490577059, 24.896703923805227 
139.3664903012622, 24.92223374774652 
137.58316054713498, 24.94013477045138 
136.87017692820513, 24.950129816094016 
137.1632898387951, 24.97716097168145 
137.09489286438657, 25.06331416475913 
137.28374521702514, 25.08110147003824 
137.05725613821065, 25.301615707590507 
151.8887963326032, 25.53181297367938 
133.68804560949263, 25.925943750425496 
133.6871809273414, 26.304961845683795 
140.2978053710328, 26.75776417772537 
128.60741558956107, 27.131331780251205 
133.93832061465304, 27.347467321145956 
127.9744481769527, 27.555145918840015 
128.18209505058184, 27.65671726461003 
140.94487691405044, 27.762302647328735 
126.56843499371905, 27.836258456712375 
127.24257656702825, 27.895753180389065 
128.352541339148, 27.934754573332306 
130.69452299873694, 28.004137517130772 
132.18997613815543, 28.0214244403999 
125.107099961318, 28.080934946127183 
144.7538616341029, 28.182728503102147 
129.15135681481968, 28.263944640719956 
132.16267800497917, 28.339112074626687 
126.33623502380001, 28.41432707038787 
130.06439251383702, 28.44689817732581 
132.38647271030848, 28.62208661373757 
131.05858792727992, 28.885203268275543 
128.45934487139397, 28.943926946431777 
125.49365306461866, 29.122350802783423 
128.21652165773435, 29.202711131184437 
133.25292421856042, 29.296290554447573 
126.29017382825528, 29.346254216320407 
