itnum,ssobja,fsobj,ssobjx,abscrit,concrit,delta,delcrit,numcuts
1, 1050.4214870246615, -20152.522199316278, 1050.4214870246615, 21202.94368634094, 20.185177043928007, 0.25, -0.0, 12 
2, 723.3512864722724, -1319.9360558963915, 723.3512864722724, 2043.2873423686638, 2.8247511003033305, 0.0625, -0.19475637168208734, 12 
3, 690.821222093389, 678.1652063148551, 690.821222093389, 12.656015778533856, 0.018320247516688353, 0.05, -1.55951654294939, 3 
4, 678.2388067812927, 678.1730748766583, 678.2388067812927, 0.06573190463439005, 9.691557601418182e-5, 0.05, -3173.9327911444752, 3 
5, 678.2349796323866, 678.1814139153847, 678.2349796323866, 0.05356571700190216, 7.897811025749168e-5, 0.05, -10.809147978808507, 2 
6, 678.2334548891264, 678.1854053094125, 678.2334548891264, 0.04804957971384738, 7.084519256233851e-5, 0.05, -18.604542106293813, 2 
7, 678.2321862012034, 678.1868045266266, 678.2321862012034, 0.0453816745767881, 6.691170885145599e-5, 0.05, -31.335045417485386, 1 
8, 678.231155354631, 678.1930313136684, 678.231155354631, 0.03812404096265709, 5.6210984502352016e-5, 0.05, -5.401001503649408, 2 
9, 678.2303150364478, 678.1941093899843, 678.2303150364478, 0.03620564646348612, 5.338252458021595e-5, 0.05, -20.715771515682345, 1 
10, 678.2296589937781, 678.1941134578552, 678.2296589937781, 0.03554553592289267, 5.240929153057506e-5, 0.05, -5.126668568535554, 2 
11, 678.2291996126968, 678.1941169132338, 678.2291996126968, 0.03508269946303244, 5.1726908076298197e-5, 0.05, -1.057992063672815, 2 
12, 678.22891907818, 678.1941242932022, 678.22891907818, 0.03479478497774835, 5.130242016963065e-5, 0.05, -0.307306124031795, 2 
13, 678.228780319188, 678.1941242932022, 678.228780319188, 0.034656025985782435, 5.1097840421144476e-5, 0.05, -0.0907152319224828, 2 
14, 678.2286490206636, 678.1941243325952, 678.2286490206636, 0.03452468806847264, 5.0904201876933226e-5, 0.05, -0.06097654313169619, 2 
15, 678.2285205413666, 678.1941321171017, 678.2285205413666, 0.03438842426487554, 5.0703300175907364e-5, 0.05, -0.04636128256617786, 2 
16, 678.2285205413666, 678.1941321171017, 678.2286256092984, 0.03438842426487554, 5.0703300175907364e-5, 0.05, 0.0290435012083258, 2 
17, 678.2285205413666, 678.1941321178437, 678.2286254257912, 0.034388423522955236, 5.0703299081998336e-5, 0.05, 0.028994274905298514, 2 
